,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
2016-09-01,392.0,5.2,1.7,12.0,26.0,3.0,27.0,25.0,-4.0,1.0,11.0,100.57,100.49,-0.3,-0.3,0.9,8.6,100.6346,99.83714,100.0042,99.24076,99.68434,99.63262,99.81296,113.8,113.7,107.4,111.4,2.5,892988.0,836398.0,380621.0,-0.3016,0.8497,0.3791,452.329987
2016-10-01,392.0,7.2,6.0,17.0,32.0,7.0,33.0,32.0,-1.0,5.0,16.0,100.83,100.76,0.3,0.3,1.7,12.6,100.7325,99.93964,100.1612,99.36996,99.80215,99.81652,99.90905,113.3,113.8,107.3,111.4,2.4,887802.0,831070.0,381789.0,-0.309,0.8787,0.3975,452.589996
2016-11-01,587.0,7.9,11.9,20.0,39.0,8.0,40.0,38.0,1.0,7.0,17.0,100.49,100.43,-0.3,-0.3,1.1,10.7,100.8245,100.0499,100.3374,99.52043,99.92848,100.0138,100.0078,114.8,115.9,108.9,113.2,2.41,896914.0,840039.0,396121.0,-0.3127,0.9085,0.3977,457.209991
2016-12-01,410.0,9.4,13.3,21.0,39.0,8.0,41.0,38.0,0.0,7.0,18.0,100.71,100.65,0.2,0.2,2.5,12.5,100.8909,100.1597,100.5159,99.66994,100.0773,100.2012,100.1022,114.4,117.0,107.8,112.9,2.4,886843.0,828712.0,346130.0,-0.3158,0.9753,0.3733,483.170013
2017-01-01,511.0,11.5,16.6,21.0,41.0,7.0,43.0,40.0,-1.0,7.0,15.0,100.35,100.24,-0.4,-0.4,3.3,12.6,100.9362,100.2551,100.6832,99.78886,100.2393,100.3516,100.1883,115.2,116.2,108.7,111.6,2.37,894319.0,837246.0,350239.0,-0.3255,1.0257,0.3619,476.709991
2017-02-01,386.0,9.7,12.2,22.0,43.0,8.0,46.0,41.0,0.0,8.0,16.0,101.09,100.98,0.7,0.7,3.6,12.5,100.9911,100.3351,100.8294,99.86582,100.4114,100.4555,100.2727,114.4,116.5,108.6,113.0,2.39,906544.0,849224.0,355545.0,-0.3286,1.0446,0.3567,495.350006
2017-03-01,413.0,9.1,10.1,24.0,47.0,8.0,49.0,45.0,-1.0,9.0,17.0,101.44,101.34,0.3,0.4,3.8,13.1,101.061,100.4246,100.9571,99.90123,100.5878,100.5157,100.3569,116.1,117.9,109.4,114.7,2.41,917721.0,860187.0,362453.0,-0.3293,1.1347,0.3457,516.539978
2017-04-01,363.0,9.2,10.5,26.0,50.0,10.0,51.0,49.0,0.0,11.0,18.0,101.98,101.88,0.5,0.5,4.9,14.6,101.1322,100.5104,101.0735,99.9118,100.7579,100.5494,100.4386,116.1,117.1,108.9,113.8,2.42,898024.0,839907.0,344251.0,-0.3304,1.159,0.3347,521.130005
2017-05-01,457.0,6.8,8.1,23.0,45.0,8.0,47.0,43.0,-1.0,9.0,16.0,101.65,101.54,-0.3,-0.3,3.3,11.1,101.1997,100.5775,101.1749,99.9182,100.9076,100.5713,100.5198,118.5,118.9,112.3,116.4,2.43,897027.0,838890.0,345058.0,-0.3295,1.1858,0.3107,524.070007
2017-06-01,381.0,8.3,10.6,23.0,44.0,10.0,47.0,40.0,1.0,10.0,18.0,101.37,101.31,-0.3,-0.2,4.9,14.0,101.2387,100.624,101.2564,99.93515,101.0463,100.5895,100.5991,118.1,119.0,109.8,114.6,2.41,888568.0,829718.0,343658.0,-0.33,1.2624,0.2944,507.149994
